Neighborhood,Age,Total_HIV_Diagnoses_by_Age,HIV_Diagnoses_Per_100k_Polulation_by_Age,Total_AIDS_Diagnoses_by_Age,HIV_Diagnoses_Per_100k_Polulation_by_Gender,Total_Concurrent_HIV_AIDS_Diagnoses_by_Age,Gender,Total_HIV_Diagnoses_by_Gender,HIV_Diagnoses_Per_100k_Polulation_by_Gender,Total_Concurrent_HIV_AIDS_Diagnoses_by_Gender,Total_Aids_Diagnoses_by_Gender,AIDS_Diagnoses_Per_100k_Polulation_by_Gender
all,60+,39.0,10.6,51.0,1.9,13.0,all,4.0,1.9,0.0,0.0,0.0
all,60+,39.0,10.6,51.0,2.3,13.0,all,5.0,2.3,0.0,1.0,0.5
all,60+,39.0,10.6,51.0,2.9,13.0,all,6.0,2.9,0.0,7.0,3.3
all,60+,39.0,10.6,51.0,4.3,13.0,all,9.0,4.3,3.0,6.0,2.9
all,60+,39.0,10.6,51.0,4.8,13.0,all,10.0,4.8,1.0,7.0,3.3
all,60+,39.0,10.6,51.0,5.6,13.0,all,12.0,5.6,5.0,15.0,7.0
all,60+,39.0,10.6,51.0,10.1,13.0,all,21.0,10.1,6.0,10.0,4.8
all,60+,39.0,10.6,51.0,10.9,13.0,all,21.0,10.9,4.0,15.0,7.8
all,60+,39.0,10.6,51.0,10.8,13.0,all,22.0,10.8,5.0,17.0,8.4
all,60+,39.0,10.6,51.0,11.4,13.0,all,22.0,11.4,1.0,10.0,5.2
all,60+,39.0,10.6,51.0,11.9,13.0,all,23.0,11.9,4.0,12.0,6.2
all,60+,39.0,10.6,51.0,6.2,13.0,all,25.0,6.2,4.0,15.0,3.7
all,60+,39.0,10.6,51.0,6.4,13.0,all,27.0,6.4,5.0,18.0,4.3
all,60+,39.0,10.6,51.0,13.8,13.0,all,28.0,13.8,5.0,14.0,6.9
all,60+,39.0,10.6,51.0,14.5,13.0,all,28.0,14.5,8.0,22.0,11.4
