YEAR,GENDER BOROUGH,NEIGHBORHOOD,SEX,RACE BY GENDER,GENDER TOTAL NUMBER OF HIV DIAGNOSES,"GENDER HIV DIAGNOSES PER 100,000 POPULATION",GENDER TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,GENDER PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,GENDER TOTAL NUMBER OF AIDS DIAGNOSES,"GENDER AIDS DIAGNOSES PER 100,000 POPULATION"
2019,staten island,all,All,all,31.0,7.7,4.0,12.9,16.0,4.0
2017,all,all,Female,all,370.0,9.8,73.0,19.7,323.0,8.6
2017,all,all,All,white,299.0,12.6,42.0,14.0,170.0,7.2
2017,all,all,All,other unknown,26.0,21.7,7.0,26.9,13.0,10.9
2017,all,all,All,latino hispanic,755.0,37.8,117.0,15.5,409.0,20.5
2017,all,all,All,black,873.0,55.0,162.0,18.6,623.0,39.3
2017,all,all,All,asian pacific islander,120.0,11.3,27.0,22.5,65.0,6.1
2017,all,all,All,all,2073.0,29.1,355.0,17.1,1280.0,17.9
2020,all,all,All,all,1429.0,19.2,269.0,18.8,944.0,12.7
2020,all,all,All,asian pacific islander,64.0,5.7,14.0,21.9,32.0,2.8
2020,all,all,All,black,646.0,39.8,118.0,18.3,452.0,27.8
2020,all,all,All,latino hispanic,513.0,24.7,93.0,18.1,323.0,15.5
2020,all,all,All,other unknown,12.0,9.0,3.0,25.0,12.0,9.0
2020,all,all,All,white,194.0,7.8,41.0,21.1,125.0,5.1
2020,all,all,Female,all,252.0,6.5,51.0,20.2,229.0,5.9
2020,all,all,Female,asian pacific islander,6.0,1.0,1.0,16.7,4.0,0.7
2020,all,all,Female,black,151.0,16.9,32.0,21.2,136.0,15.2
2020,all,all,Female,latino hispanic,78.0,7.2,15.0,19.2,74.0,6.9
2020,all,all,Female,other unknown,3.0,4.2,0.0,0.0,0.0,0.0
2020,all,all,Female,white,14.0,1.1,3.0,21.4,15.0,1.2
2020,all,all,Male,all,1177.0,33.4,218.0,18.5,715.0,20.3
2020,all,all,Male,asian pacific islander,58.0,10.9,13.0,22.4,28.0,5.3
2020,all,all,Male,black,495.0,67.8,86.0,17.4,316.0,43.3
2020,all,all,Male,latino hispanic,435.0,43.6,78.0,17.9,249.0,24.9
2017,all,all,Female,asian pacific islander,10.0,1.8,1.0,10.0,7.0,1.2
2020,all,all,Male,other unknown,9.0,14.6,3.0,33.3,12.0,19.5
2017,all,all,Female,black,235.0,26.6,51.0,21.7,210.0,23.8
2017,all,all,Female,other unknown,4.0,6.2,2.0,50.0,3.0,4.6
2017,bronx,all,Male,latino hispanic,182.0,61.1,27.0,14.8,97.0,32.6
2017,bronx,all,Male,black,133.0,84.7,24.0,18.0,109.0,69.4
2017,bronx,all,Male,asian pacific islander,2.0,8.7,0.0,0.0,3.0,13.0
2017,bronx,all,Male,all,334.0,61.7,54.0,16.2,219.0,40.4
